Run,Lumi,Event,MR,Rsq,HT,MET,nJets,nBJets
148029,388,302341250,288.311,0.00773413,172.247,10.1541,2,0
148029,388,302336162,294.009,0.0113558,142.396,13.8092,2,0
148029,388,302345322,176.184,0.0153363,175.153,7.42574,3,0
148029,388,302346194,229.074,0.0381352,239.516,15.8762,3,0
148029,388,302371162,292.763,0.00801524,199.039,6.63008,2,0
148029,388,302373266,134.905,0.0733778,195.401,24.1984,3,0
148029,388,302399538,268.407,0.0199596,209.623,15.6488,3,0
148029,388,302402106,549.478,0.00442843,227.052,12.7675,3,1
148029,388,302449346,259.283,0.0298679,224.582,15.6061,2,0
148029,388,302435050,487.279,0.0217016,357.064,25.8899,2,0
148029,388,302456554,220.982,0.0404774,213.54,16.4395,2,0
148029,388,302469234,578.207,0.00572169,261.938,13.1429,2,0
148029,388,302464930,344.488,0.0466602,228.694,39.5919,2,1
148029,388,302480234,325.385,0.015962,259.396,12.1395,2,0
148029,388,302476794,424.023,0.00496051,200.039,10.074,3,0
148029,388,302496194,294.535,0.0395615,256.584,24.0495,2,0
148029,388,302530218,185.683,0.00953506,184.804,3.1246,2,1
148029,388,302503770,404.02,0.00965085,239.331,11.9103,2,0
148029,388,302550490,237.05,0.064133,246.437,30.3654,3,0
148029,388,302567970,288.07,0.0167843,166.217,15.3312,2,0
148029,388,302576138,212.145,0.0514861,193.875,20.3722,2,0
148029,388,302585594,463.591,0.0107169,224.412,18.7427,2,0
148029,388,302585530,395.532,0.0101465,244.869,12.3074,3,0
148029,388,302585386,286.808,0.0138515,216.136,8.40686,2,0
148029,388,302597066,397.621,0.00936975,249.816,9.98703,2,0
148029,388,302596162,267.264,0.0566788,250.402,28.1369,3,0
148029,388,302593378,278.105,0.0184228,257.609,11.9221,4,0
148029,388,302611722,246.002,0.0249097,190.854,14.5072,2,0
148029,388,302622370,168.008,0.0527545,167.399,14.2162,2,0
148029,388,302632066,260.823,0.0760412,278.372,32.8713,4,0
148029,388,302661370,344.325,0.0270361,333.945,18.848,3,0
148029,388,302676930,196.314,0.00236233,195.579,1.37552,2,0
148029,388,302680602,187.668,0.0276191,187.47,9.6575,2,0
148029,388,302674018,258.188,0.0351315,252.076,19.1368,2,0
148029,388,302684530,675.464,0.00320193,233.719,12.0189,3,0
148029,388,302689378,593.88,0.00466267,288.961,14.0913,3,0
148029,388,302696186,277.19,0.0943127,276.918,43.736,2,0
148029,388,302701890,209.665,0.0115044,169.68,5.43059,2,0
148029,388,302671842,432.937,0.00872011,328.989,13.4993,5,0
148029,388,302692466,285.629,0.013207,206.803,10.4906,2,0
148029,388,302715330,297.914,0.0295352,248.993,18.8113,2,0
148029,388,302719226,226.809,0.0161021,222.536,7.04408,3,0
148029,388,302719538,807.282,0.00134279,247.213,14.7165,4,0
148029,388,302737210,191.82,0.0166643,182.739,5.83515,2,0
148029,388,302731258,316.923,0.0115753,275.346,9.94979,3,0
148029,388,302752394,196.852,0.0380674,213.803,14.127,3,0
148029,388,302764162,361.005,0.0150317,241.145,15.0688,2,0
148029,388,302770698,190.658,0.0330798,171.208,11.1681,2,0
148029,388,302790498,282.397,0.00874615,190.935,6.71489,2,0
148029,388,302802666,261.762,0.00235603,224.865,1.39182,2,0
148029,388,302781314,186.141,0.0104633,178.521,4.63407,2,0
148029,388,302806898,317.398,0.0098851,303.689,6.87586,3,1
148029,388,302822554,281.567,0.00909366,225.988,5.7035,3,0
148029,388,302839386,289.802,0.0324159,274.467,18.8449,2,0
148029,388,302833418,293.312,0.0147791,291.248,18.5901,3,0
148029,388,302851370,370.953,0.00324693,243.782,3.68476,2,0
148029,388,302861546,360.434,0.0125413,222.356,13.8261,2,0
148029,388,302897466,295.474,0.019755,219.737,15.3975,2,0
148029,388,302902722,242.385,0.0195194,248.119,8.53164,4,0
148029,388,302911450,258.072,0.031326,225.989,18.4044,3,0
148029,388,302925426,596.444,0.00706646,347.35,20.127,4,0
148029,388,302932570,193.88,0.0172576,182.989,6.7869,2,0
148029,388,302929866,1015,0.00165923,281.805,10.9649,2,0
148029,388,302958922,231.079,0.100069,229.777,32.0498,2,0
148029,388,302978930,411.371,0.00625438,212.172,9.57725,2,0
148029,388,302982546,230.981,0.0253761,165.317,14.6577,2,0
148029,388,302983618,299.34,0.0396178,242.492,25.6825,2,0
148029,388,302993370,660.783,0.00154816,200.277,5.90717,2,0
148029,388,303028282,425.711,0.0179119,443.895,20.6514,3,0
148029,388,303043834,457.124,0.0236046,383.435,25.5189,4,0
148029,388,303045002,511.169,0.00600324,187.289,15.5966,2,0
148029,388,303052338,210.555,0.016326,200.982,5.80142,2,0
148029,388,303071114,239.872,0.0488608,242.27,18.1282,3,0
148029,388,303097378,376.656,0.00464583,214.311,7.38309,2,0
148029,388,303098658,205.283,0.0331728,208.586,15.0975,3,0
